tax_account_connected,business_name,business_type,business_city,business_state,business_start_date,business_description,naics_code,fulltime_employees_count,fulltime_employees_annual_payroll,ever_filed_bankruptcy,bankruptcy_description,ongoing_lawsuits,lawsuits_description,is_only_owner,owners,annual_revenue_year_one,annual_revenue_year_two,annual_revenue_year_three,net_operating_income_year_one,net_operating_income_year_two,net_operating_income_year_three,has_no_debts,debts,has_no_credit_debts,credit_debts,business_ein,incorporation_city,incorporation_state,credit_check_consent,inquiry_id,user_id,organization_id,id,meta_status,created_at,updated_at,open_banking_connected,business_address,business_zip_code,business_phone_number,is_business_address_same_as_individual,is_business_phone_number_same_as_individual,position_at_business,percent_ownership,owner_roles
"f","The Good Corp","S Corporation","Austin","TX","2015-10-15 19:37:40.454+00","We do good things","541714","3","17000000","f",,"f",,"f","[{""id"": ""3758ecb6-4828-4570-ad0d-b4ca1370dc6e"", ""ssn"": ""234567890"", ""email"": ""rebecca@example.com"", ""roles"": [""beneficialOwner""], ""lastName"": ""Parlay"", ""firstName"": ""Rebecca"", ""percentage"": 30, ""dateOfBirth"": ""1954-06-03T11:05:51.894Z"", ""phoneNumber"": ""+19128067511"", ""residentialCity"": ""Somewhere"", ""residentialState"": ""AL"", ""citizenshipStatus"": ""citizen"", ""residentialAddress"": ""123 Somewhere Ln"", ""residentialZipCode"": ""12345""}]","70000000","40000000","35000000","20000000","10000000","5000000","t",,"t","[{""id"": ""7a125521-9c64-433d-8ec2-fa541fc1b2ce"", ""name"": ""Business Credit Card"", ""balance"": 1273300}]","123456789","Austin","TX","t","3b686117-5f64-4b77-800f-f8659c09da61","272gigmmb46o8f0g1uj8k","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","32babd86-8702-4fa6-9ebd-d66d5aecd478","t","2025-10-12 19:37:40.454+00","2025-10-14 19:37:40.455+00","f","1003 Barton Springs Rd","78704","+14752796635","f","f","CEO","70.00","{authorizedSigner}"
"f","Dooley, Harris and Skiles","Franchise",,,,,"561431","482","2638117827","f",,"f",,"t",,"5276235654","5818048971","4591593404","1335564319","1472712578","1162262021","t","[]","f","[{""id"": ""f154b37d-08bf-483f-a199-61ca0be839c1"", ""name"": ""Brex Business Credit Card"", ""balance"": 3466701}, {""id"": ""7e71c967-a930-488f-9436-ba6070216f21"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1565780}, {""id"": ""320a9376-beff-46ca-bd2e-069347e90fb7"", ""name"": ""Brex Business Credit Card"", ""balance"": 3181739}, {""id"": ""5f7a012e-c1d6-4c4f-b52b-37583e28886c"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 2257915}, {""id"": ""9d4c3aa5-4061-449a-8381-7a086d0a6820"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 4688923}]","123456789","Lake Hollie","AK","t","07f90b81-1187-4b71-b39a-b2feb5a235ef","9djkn48prjqtblpde66pe","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","6ccdbb2d-af4c-44ed-a66b-28a27eb65ca5","f","2025-09-17 21:28:55.537+00",,"f",,,,"f","f",,"31.80","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Schroeder Inc","Partnership",,,,,"532420","329","2645185169","f",,"f",,"t",,"5290370337","6596699481","6813465889","1842414848","2297354684","2372845363","f","[{""id"": ""c163227a-9852-42b0-92ba-2f6754a098a5"", ""name"": ""Contract Breach Judgment Debt"", ""interestRate"": 4.351459370234031, ""originalDate"": ""2018-06-05T23:26:22.158Z"", ""currentBalance"": 33337796, ""monthlyPayment"": 2899040, ""originalAmount"": 36184281, ""termOrMaturationDate"": ""2026-09-21T13:28:39.239Z""}, {""id"": ""91209601-f858-4382-8fcb-e7f5de8f01e4"", ""name"": ""Office Depot Vendor Credit"", ""interestRate"": 6.339631883307707, ""originalDate"": ""2021-03-27T23:32:14.729Z"", ""currentBalance"": 3416126, ""monthlyPayment"": 46515, ""originalAmount"": 9318873, ""termOrMaturationDate"": ""2033-10-30T19:30:19.524Z""}]","t","[]","123456789","North Thad","GA","t","ca8b1b59-e0ef-431c-ae26-5485e08d432a","qvcbg8cyb5h3v6v0y5zf9","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","6d78a0bc-0a09-464e-b16a-946847f0be88","f","2025-10-20 17:31:20.809+00",,"f",,,,"f","f",,"66.36","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Mueller - Kassulke","S Corporation",,,,,"316990","253","1092079307","f",,"f",,"t",,"4999261531","3968394581","5154421235","1581305708","1255234391","1630383942","f","[{""id"": ""d8ddaf67-0cd3-419e-a8ef-4c2c51bdfc9b"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 8.251601241093244, ""originalDate"": ""2021-01-02T03:03:20.587Z"", ""currentBalance"": 2042476, ""monthlyPayment"": 42412, ""originalAmount"": 2252774, ""termOrMaturationDate"": ""2027-11-25T09:31:26.593Z""}]","f","[{""id"": ""09adda60-3e04-49c4-af3c-91901cb473af"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3132997}, {""id"": ""1585141e-cc2e-40ea-9e6f-f1c867c263ff"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 2672697}, {""id"": ""2dd56ed1-c5ac-43d5-867d-e3f157883f99"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 316627}, {""id"": ""d3654dca-f6fe-46a2-bc3c-fb0257d9b97e"", ""name"": ""Brex Business Credit Card"", ""balance"": 1554949}, {""id"": ""8620962c-e388-445d-934b-5cdf6577ceed"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1760931}]","123456789","South Lorenzaton","ND","t","41460f7b-99c4-4a89-bf5f-e4207accb1df","bctpwl50b7c3fjs0xjq04","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","8727a30e-58f6-429e-867a-c52c16a8e9c3","f","2025-09-19 03:11:34.392+00",,"f",,,,"f","f",,"78.08","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Runte - Hills","Partnership","Port Darren","VA","2019-05-08 14:26:26.087+00","Placeat vester animadverto corrumpo supellex commodi demens amet. Consuasor dolorem clam ventosus vaco carcer vita substantia totus. Communis vinitor vitium.","541614","318","1208894967","f",,"f",,"t",,"2417789934","2394261566","3012891992","844566730","836347953","1052443929","f","[{""id"": ""24e94c34-30c2-436b-88d5-e45138a4aeed"", ""name"": ""Fastenal Industrial Supplier Credit"", ""interestRate"": 8.10004890129603, ""originalDate"": ""2020-05-09T04:21:51.693Z"", ""currentBalance"": 5367768, ""monthlyPayment"": 80964, ""originalAmount"": 32456804, ""termOrMaturationDate"": ""2033-07-19T02:50:05.099Z""}, {""id"": ""d06b5179-532f-4c24-a96c-6eceea478dfb"", ""name"": ""Amazon Business Net-30 Account"", ""interestRate"": 6.326221241409917, ""originalDate"": ""2021-03-14T16:55:59.956Z"", ""currentBalance"": 2927302, ""monthlyPayment"": 64221, ""originalAmount"": 18199796, ""termOrMaturationDate"": ""2029-11-19T13:11:26.575Z""}, {""id"": ""4b8b86be-9c68-4078-b9c7-ad4ee97573b0"", ""name"": ""US Bank Equipment Financing"", ""interestRate"": 4.131174548803498, ""originalDate"": ""2025-08-20T01:05:58.159Z"", ""currentBalance"": 1608326, ""monthlyPayment"": 139564, ""originalAmount"": 30313918, ""termOrMaturationDate"": ""2026-09-05T10:08:07.447Z""}]","t","[]","123456789","Jefffurt","TN","t","3fc69557-6074-4371-979b-8fe9fbdfd4d5","zsqvemgmjv1ni53vnqbxf","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","d1a39d74-a4ac-43ec-88e3-9b8e9b28c6c0","t","2025-09-12 00:43:53.988+00",,"f","410 Cleveland Street","03905","+14348635124","f","f","Lead Solutions Planner","45.00","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Hermann - Fahey","Partnership",,,,,"221118","388","1325763214","f",,"f",,"t",,"2651526428","2233472588","2645823051","846222563","712802587","844402356","t","[]","f","[{""id"": ""692e72a1-dc8b-4170-9ae6-60df8e69b106"", ""name"": ""Brex Business Credit Card"", ""balance"": 3515629}, {""id"": ""044dd076-2023-4a21-83ae-57fd023831f9"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 204201}, {""id"": ""3b57888d-166d-4434-a272-eb86a84ade67"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 4587816}, {""id"": ""ca8ee363-ccea-4be2-a369-0717c6157d1b"", ""name"": ""Discover It Business Card"", ""balance"": 963114}, {""id"": ""43297430-eaaa-422a-b4ec-7b452b484562"", ""name"": ""Discover It Business Card"", ""balance"": 2006743}]","123456789","Ethanberg","OR","t","0eb379be-619b-4d65-9906-45d1b58e1a94","e5p31je55k7a6uxxid4gb","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","09008dd5-f71a-4047-9f0d-e600d259fe0d","f","2025-09-20 11:27:10.155+00",,"f",,,,"f","f",,"98.43","{authorizedSigner,beneficialOwner,controlPerson}"
"t","Torphy - Hermiston","Nonprofit organization",,,,,"561920","454","4313967247","f",,"f",,"t",,"8627934494","7624995997","6419447832","2620361754","2315762585","1949629496","t","[]","f","[{""id"": ""fadf473f-1f8e-4d16-a586-e57aeae7c6eb"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 3699787}, {""id"": ""6fd3ac20-9915-464a-a505-3f0c41e26f77"", ""name"": ""American Express Business Platinum Card"", ""balance"": 2841404}, {""id"": ""29bc101b-551a-4b85-a672-ba8637e34f85"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 2697417}]","123456789","Sammieburgh","DE","t","a9dddf99-fa5c-4cc8-a9c5-de400fed6b1d","nvs3ffaqvr7aaj7lny25t","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","7e7cf54f-c169-416b-9fda-12a65a6c2475","f","2025-08-21 22:30:48.446+00",,"f",,,,"f","f",,"99.36","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Hilpert, Kulas and Stamm","Partnership","Burien","MN","2021-02-24 02:09:33.769+00","Absorbeo conqueror bene vilitas commemoro sui toties centum. Crebro vobis canonicus aiunt expedita. Eaque calculus exercitationem tardus adstringo pauper.","712130","234","684504054","f",,"f",,"t",,"1369008108","979835145","692371730","363890440","260445968","184036495","f","[{""id"": ""5eee7406-4b38-478a-bd53-60d31c491778"", ""name"": ""US Bank Equipment Financing"", ""interestRate"": 4.55326221691587, ""originalDate"": ""2017-08-02T16:56:11.958Z"", ""currentBalance"": 6827542, ""monthlyPayment"": 139699, ""originalAmount"": 13929220, ""termOrMaturationDate"": ""2027-10-28T21:10:55.647Z""}, {""id"": ""5c0f64df-c96f-4a3b-a27b-48a378bd5d93"", ""name"": ""Regulatory Fine Payment Agreement"", ""interestRate"": 4.43017107207736, ""originalDate"": ""2025-01-28T08:04:55.184Z"", ""currentBalance"": 6589462, ""monthlyPayment"": 134151, ""originalAmount"": 7027985, ""termOrMaturationDate"": ""2026-03-14T20:28:29.973Z""}]","f","[{""id"": ""3bb3b773-5d98-40f9-bb50-9856de7c1abc"", ""name"": ""Stripe Corporate Business Card"", ""balance"": 2323219}]","123456789","Hintzhaven","ME","t","604821b9-95bb-4954-8115-e09f003fb51d","zw88tbli9c9tfd200db8d","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","a08407f0-e3a3-4720-9fd5-ebada7172455","t","2025-08-31 13:58:42.283+00",,"f","826 Beier Parkway","53618","+19517482802","f","f","Chief Marketing Director","89.54","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Leuschke - Rodriguez","C Corporation",,,,,"337121","119","788607169","t","Thalassinus illum civis apud adinventitias libero timor. Subiungo cohors patruus dedecor contra altus aufero sopor umquam sperno. Truculenter valens teres quae creber.","f",,"t",,"2259562837","1797789701","2063780221","754084142","599976545","688745590","f","[{""id"": ""58758bb3-fe2c-456e-9001-b67014894fe7"", ""name"": ""IRS Payroll Tax Debt"", ""interestRate"": 7.414526310614708, ""originalDate"": ""2017-05-21T10:17:29.913Z"", ""currentBalance"": 3103310, ""monthlyPayment"": 83827, ""originalAmount"": 4112271, ""termOrMaturationDate"": ""2029-01-05T05:28:26.824Z""}]","f","[{""id"": ""dde64add-be43-4880-a53e-a77ab7e1f2ec"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1325962}, {""id"": ""beb7417d-21d6-4764-854e-f6e438d16664"", ""name"": ""Discover It Business Card"", ""balance"": 3727386}, {""id"": ""1fef9aa2-f480-4feb-8d4f-932ded395c67"", ""name"": ""Discover It Business Card"", ""balance"": 4349546}, {""id"": ""e9e84726-40f7-4f15-9e77-76aa8033fac5"", ""name"": ""Capital One Spark Business Credit Card"", ""balance"": 836116}, {""id"": ""77f7b707-6627-48fe-9b4e-6d6ab93b53ab"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 1660497}]","123456789","Jonberg","PA","t","69d00ffe-46c7-47a9-846b-940c6e9f3aae","yn6phntq8zq60fq9tpesw","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","968ad5fd-30e3-4c67-b00d-722af14cf431","f","2025-10-03 00:17:53.38+00",,"f",,,,"f","f",,"77.19","{authorizedSigner,beneficialOwner,controlPerson}"
"f","Daugherty Inc","S Corporation",,,,,"444230","58","235127244","t","Torqueo absens talus terra ascisco quas. Adflicto adnuo possimus cervus deduco curia. Textilis asporto decens adopto.","f",,"t",,"1069543548","928462159","816660655","376818025","327112699","287723165","t","[]","f","[{""id"": ""601e4934-409e-40f4-9b51-0b779472e5f0"", ""name"": ""Brex Business Credit Card"", ""balance"": 3946160}, {""id"": ""31c3678d-f106-4ca1-864f-59952ff0349d"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3876712}, {""id"": ""2a31846b-6c61-4f6b-bda0-5427d94bb887"", ""name"": ""Brex Business Credit Card"", ""balance"": 2761921}, {""id"": ""ae8615cb-8369-4d5e-a986-7fcf1c4448dc"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 239122}]","123456789","West Juanitafield","MI","t","d0264e7c-ab3f-4799-ab4f-ab6728d04664","tq72igvxqwmtnkitayo3x","3ea1e598-67e0-ec66-d6ef-fdca7bdf2b19","beebaa49-6493-4c57-991b-4701ea48417c","f","2025-09-19 14:10:55.905+00",,"f",,,,"f","f",,"26.61","{authorizedSigner,beneficialOwner,controlPerson}"
